,magnitude,depth
0,3.08,8.0
1,4.5,10.0
2,4.7,248.65
3,4.9,35.0
4,5.1,10.0
5,4.6,10.0
6,5.0,10.0
7,4.7,10.0
8,4.23,26.32
9,5.1,10.0
10,4.3,76.56
11,2.6,7.1
12,4.3,148.63
13,3.0,5.0
14,2.81,5.0
15,2.59,6.0
16,4.8,6.95
17,5.0,552.59
18,2.85,16.95
19,4.7,10.0
20,5.8,488.06
21,5.1,10.0
22,4.6,517.13
23,4.2,10.0
24,2.69,7.0
25,5.1,67.36
26,4.1,168.07
27,4.5,10.0
28,4.3,28.7
29,4.12,114.0
30,2.7,6.979931641
31,4.5,10.0
32,4.5,25.31
33,4.2,10.0
34,4.1,264.67
35,2.6,36.29
36,2.6,9.5
37,4.4,10.0
38,4.9,10.0
39,2.78,4.18
40,4.3,455.27
41,2.97,8.0
42,5.1,10.0
43,4.2,10.0
44,2.7,17.55
45,4.3,35.0
46,5.1,10.0
47,4.7,78.84
48,5.1,19.38
49,4.2,40.44
50,5.4,10.0
51,3.9,89.16
52,4.8,10.0
53,4.9,10.0
54,3.0,63.1
55,4.7,211.49
56,2.7,20.5
57,3.14,7.0
58,4.4,417.52
59,4.6,10.0
60,4.6,600.77
61,5.1,114.7
62,4.6,243.23
63,5.0,10.0
64,2.61,4.3
65,2.53,10.28
66,4.9,10.0
67,4.6,10.0
68,4.8,10.0
69,3.29,8.06
70,3.7,30.88
71,4.6,77.63
72,3.27,31.0
73,4.9,10.0
74,2.73,33.09
75,2.62,33.35
76,5.3,10.0
77,4.5,83.17
78,2.46000004,36.0
79,2.9,6.2
80,3.3,10.0
81,2.82,12.0
82,4.8,23.0
83,4.8,10.0
84,4.6,203.78
85,2.72,6.0
86,4.3,100.52
87,4.1,10.0
88,4.6,10.0
89,4.6,282.89
90,3.21,-1.36
91,5.1,10.0
92,4.9,70.27
93,2.51,4.0
94,5.0,10.0
95,2.7,186.5
96,2.53,1.68
97,5.2,10.0
98,2.8,89.3
99,4.5,575.78
100,5.1,10.0
101,2.5,6.74855957
102,2.9,9.0
103,4.4,10.0
104,4.3,10.0
105,5.0,10.0
106,3.8,69.49
107,5.0,10.0
108,2.67,8.0
109,2.5,6.054443359000001
110,4.6,59.19
